prb_alloc,DRB.UEThpUl,target_prb_ratio
73,5545.0,66
48,4226.0,66
40,3511.0,66
43,3885.0,66
68,5495.0,66
59,5161.0,66
64,5517.0,66
87,5467.0,66
60,5270.0,66
19,1954.0,66
36,3182.0,66
27,2702.0,66
19,1956.0,66
49,4362.0,66
41,3765.0,66
94,5766.0,66
23,2323.0,66
69,5654.0,66
36,3180.0,66
35,3184.0,66
51,4411.0,66
48,4226.0,66
42,3750.0,66
33,2935.0,66
32,2745.0,66
28,2621.0,66
51,4412.0,66
17,1631.0,66
53,4775.0,66
60,5269.0,66
61,5281.0,66
75,5542.0,66
86,5496.0,66
96,5498.0,66
76,5516.0,66
79,5577.0,66
91,6019.0,66
43,3865.0,66
14,1357.0,66
31,2731.0,66
32,2744.0,66
67,5730.0,66
97,6079.0,66
52,4731.0,66
26,2506.0,66
7,715.0,66
85,5690.0,66
98,5660.0,66
25,2467.0,66
64,5527.0,66
10,1178.0,66
28,2666.0,66
46,4018.0,66
22,2314.0,66
59,5196.0,66
90,6094.0,66
49,4358.0,66
75,5474.0,66
63,5435.0,66
58,5165.0,66
10,1198.0,66
60,5269.0,66
78,5595.0,66
39,3507.0,66
55,4789.0,66
26,2489.0,66
66,5768.0,66
94,5433.0,66
77,5520.0,66
5,367.0,66
47,4219.0,66
67,5576.0,66
5,368.0,66
96,5483.0,66
53,4720.0,66
16,1538.0,66
5,368.0,66
59,5173.0,66
73,5544.0,66
100,5519.0,66
78,5676.0,66
85,5642.0,66
41,3756.0,66
34,2928.0,66
62,5525.0,66
19,1953.0,66
7,712.0,66
62,5465.0,66
53,4733.0,66
92,5482.0,66
51,4426.0,66
22,2307.0,66
86,5391.0,66
82,5390.0,66
7,710.0,66
43,3876.0,66
72,5504.0,66
44,3847.0,66
58,5137.0,66
13,1356.0,66
58,5127.0,66
31,2732.0,66
34,2933.0,66
16,1568.0,66
1,0.0,66
72,5557.0,66
99,6299.0,66
81,5638.0,66
30,2636.0,66
16,1531.0,66
82,5391.0,66
77,5592.0,66
74,5512.0,66
88,5506.0,66
50,4400.0,66
32,2737.0,66
14,1361.0,66
44,3890.0,66
3,0.0,66
95,5193.0,66
44,3890.0,66
41,3750.0,66
40,3511.0,66
10,1207.0,66
62,5490.0,66
11,1213.0,66
45,3997.0,66
92,5952.0,66
39,3510.0,66
14,1355.0,66
1,0.0,66
57,4903.0,66
68,5615.0,66
61,5264.0,66
33,2923.0,66
29,2675.0,66
17,1543.0,66
30,2633.0,66
73,5481.0,66
69,5388.0,66
37,3301.0,66
38,3299.0,66
56,4929.0,66
72,5581.0,66
65,5660.0,66
27,2673.0,66
11,1204.0,66
37,3339.0,66
57,4910.0,66
94,5771.0,66
59,5160.0,66
40,3519.0,66
54,4835.0,66
94,5669.0,66
64,5553.0,66
5,368.0,66
65,5627.0,66
80,5579.0,66
86,5642.0,66
64,5516.0,66
49,4338.0,66
55,4833.0,66
52,4708.0,66
98,5234.0,66
15,1363.0,66
45,4000.0,66
52,4777.0,66
58,5178.0,66
33,2923.0,66
1,0.0,66
100,5643.0,66
45,4007.0,66
14,1361.0,66
86,5525.0,66
22,2347.0,66
9,918.0,66
76,5583.0,66
45,4008.0,66
41,3746.0,66
54,4815.0,66
11,1211.0,66
84,5427.0,66
23,2328.0,66
83,5374.0,66
92,5385.0,66
37,3317.0,66
33,2926.0,66
69,5558.0,66
98,5917.0,66
11,1201.0,66
60,5272.0,66
54,4839.0,66
39,3497.0,66
36,3186.0,66
74,5617.0,66
47,4228.0,66
64,5527.0,66
78,5194.0,66
72,5431.0,66
83,5615.0,66
99,5647.0,66
62,5520.0,66
99,5701.0,66
50,4435.0,66
55,4832.0,66
11,1207.0,66
78,5642.0,66
49,4365.0,66
71,5552.0,66
58,5137.0,66
41,3751.0,66
34,2930.0,66
87,6233.0,66
38,3267.0,66
57,4906.0,66
73,5521.0,66
92,5524.0,66
47,4224.0,66
53,4775.0,66
28,2687.0,66
66,5465.0,66
62,5511.0,66
22,2354.0,66
69,5565.0,66
5,371.0,66
100,5933.0,66
93,5627.0,66
26,2467.0,66
29,2662.0,66
2,0.0,66
49,4351.0,66
46,3987.0,66
2,0.0,66
90,5165.0,66
37,3310.0,66
45,4006.0,66
3,0.0,66
